,GDPC1,CPILFESL,PCEPI,PPIFID,DFEDTARU,CSUSHPISA,UNRATE,SP500,DGS10,T10Y2Y,T10Y3M,T10YIE,FEDFUNDS,CPIAUCSL,M2,M2V,BASE,USSLIND,UMCSENT,IPMAN,HOUST,GS10,BAA10Y,TEDRATE,WALCL,GDP,DTWEXB,BAMLH0A0HYM2,DGS2,A191RP1Q027SBEA,VIXCLS
2013-08-19,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1646.06,2.88,2.52,2.82,2.13,0.08,233.456,10776.5,1.569,3393.903,1.67,82.1,99.4251,917.0,2.74,2.7,0.2,3646323.0,16911.068,101.8405,4.71,0.36,5.2,15.1
2013-08-20,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1652.35,2.82,2.46,2.78,2.15,0.08,233.456,10776.5,1.569,3393.903,1.67,82.1,99.4251,917.0,2.74,2.72,0.22,3646323.0,16911.068,101.7325,4.8,0.36,5.2,14.91
2013-08-21,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1642.8,2.87,2.49,2.83,2.14,0.08,233.456,10776.5,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.71,0.22,3645668.0,16911.068,102.2144,4.77,0.38,5.2,15.94
2013-08-22,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1656.96,2.9,2.48,2.87,2.11,0.08,233.456,10776.5,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.68,0.23,3645668.0,16911.068,102.4438,4.73,0.42,5.2,14.76
2013-08-23,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1663.5,2.82,2.42,2.79,2.13,0.08,233.456,10776.5,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.67,0.23,3645668.0,16911.068,102.1059,4.75,0.4,5.2,13.98
2013-08-24,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1663.5,2.82,2.42,2.79,2.13,0.08,233.456,10776.5,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.67,0.23,3645668.0,16911.068,102.1059,4.75,0.4,5.2,13.98
2013-08-25,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1663.5,2.82,2.42,2.79,2.13,0.08,233.456,10776.5,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.67,0.23,3645668.0,16911.068,102.1059,4.75,0.4,5.2,13.98
2013-08-26,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1656.78,2.79,2.38,2.75,2.15,0.08,233.456,10808.9,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.67,0.23,3645668.0,16911.068,102.342,4.75,0.41,5.2,14.99
2013-08-27,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1630.48,2.72,2.34,2.67,2.15,0.08,233.456,10808.9,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.66,0.21,3645668.0,16911.068,102.5701,4.82,0.38,5.2,16.77
2013-08-28,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1634.96,2.78,2.38,2.75,2.15,0.08,233.456,10808.9,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.65,0.23,3644456.0,16911.068,102.5811,4.77,0.4,5.2,16.49
2013-08-29,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1638.17,2.75,2.36,2.73,2.1,0.08,233.456,10808.9,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.62,0.24,3644456.0,16911.068,102.7918,4.76,0.39,5.2,16.81
2013-08-30,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1632.97,2.78,2.39,2.75,2.1,0.08,233.456,10808.9,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.56,0.23,3644456.0,16911.068,102.905,4.76,0.39,5.2,17.01
2013-08-31,16594.743,234.336,101.51,109.5,0.25,156.966,7.2,1632.97,2.78,2.39,2.75,2.1,0.08,233.456,10808.9,1.569,3427.953,1.67,82.1,99.4251,917.0,2.74,2.56,0.23,3644456.0,16911.068,102.905,4.76,0.39,5.2,17.01
2013-09-01,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1632.97,2.78,2.39,2.75,2.1,0.08,233.544,10808.9,1.569,3427.953,1.75,77.5,99.4882,850.0,2.81,2.56,0.23,3644456.0,16911.068,102.905,4.76,0.39,5.2,17.01
2013-09-02,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1632.97,2.78,2.39,2.75,2.1,0.08,233.544,10824.0,1.569,3427.953,1.75,77.5,99.4882,850.0,2.81,2.56,0.23,3644456.0,16911.068,102.905,4.78,0.39,5.2,17.01
2013-09-03,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1639.77,2.86,2.43,2.84,2.1,0.08,233.544,10824.0,1.569,3427.953,1.75,77.5,99.4882,850.0,2.81,2.58,0.24,3644456.0,16911.068,103.1272,4.69,0.43,5.2,16.61
2013-09-04,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1653.08,2.9,2.44,2.88,2.07,0.08,233.544,10824.0,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.55,0.24,3654182.0,16911.068,102.7503,4.64,0.46,5.2,15.88
2013-09-05,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1655.08,2.98,2.46,2.96,2.06,0.08,233.544,10824.0,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.55,0.24,3654182.0,16911.068,103.0869,4.59,0.52,5.2,15.77
2013-09-06,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1655.17,2.94,2.48,2.92,2.07,0.08,233.544,10824.0,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.59,0.24,3654182.0,16911.068,102.4424,4.63,0.46,5.2,15.85
2013-09-07,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1655.17,2.94,2.48,2.92,2.07,0.08,233.544,10824.0,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.59,0.24,3654182.0,16911.068,102.4424,4.63,0.46,5.2,15.85
2013-09-08,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1655.17,2.94,2.48,2.92,2.07,0.08,233.544,10824.0,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.59,0.24,3654182.0,16911.068,102.4424,4.63,0.46,5.2,15.85
2013-09-09,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1671.71,2.9,2.45,2.88,2.06,0.08,233.544,10816.4,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.6,0.24,3654182.0,16911.068,102.2002,4.66,0.45,5.2,15.63
2013-09-10,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1683.99,2.96,2.46,2.94,2.1,0.08,233.544,10816.4,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.61,0.24,3654182.0,16911.068,102.1311,4.6,0.5,5.2,14.53
2013-09-11,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1689.13,2.93,2.46,2.91,2.13,0.08,233.544,10816.4,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.61,0.23,3662035.0,16911.068,101.906,4.63,0.47,5.2,13.82
2013-09-12,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1683.42,2.92,2.47,2.91,2.11,0.08,233.544,10816.4,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.61,0.24,3662035.0,16911.068,101.7782,4.61,0.45,5.2,14.29
2013-09-13,16594.743,234.7,101.55,109.4,0.25,158.227,7.2,1687.99,2.9,2.45,2.89,2.1,0.08,233.544,10816.4,1.569,3465.744,1.75,77.5,99.4882,850.0,2.81,2.64,0.24,3662035.0,16911.068,101.8566,4.6,0.45,5.2,14.16
